ClaimId,id_lineitem,amt_lineitem,features
1,1,105,x
1,2,105.94,x
1,3,12.24,x
1,4,20,x
1,5,51.37,x
1,6,9.69,x
1,7,15,x
1,8,23,x
1,9,4.6,x
1,10,80.08,x
1,11,46.58,x
1,12,2.27,x
1,13,390,x
2,14,273.6,x
2,15,67.5,x
2,16,44.2,x
2,17,128.36,x
2,18,128.36,x
3,19,64,x
3,20,34,x
3,21,16.2,x
3,22,19,x
3,23,42.72,x
4,24,378.05,x
4,25,75.5,x
4,26,61.18,x
5,27,11.42,x
5,28,97.5,x
6,29,157.6,x
6,30,-59.15,x
6,31,-30,x
6,32,36.5,x
6,33,25.5,x
6,34,22,x
6,35,12.7,x
6,36,245.7,x
6,37,42,x
6,38,82.5,x
6,39,86,x
6,40,122.5,x
6,41,50.5,x
6,42,30.25,x
6,43,115.5,x
6,44,1,x
6,45,3.6,x
6,46,87.5,x
6,47,59,x
6,48,10.74,x
6,49,1,x
6,50,1,x
6,51,2,x
6,52,157.6,x
6,53,-59.15,x
6,54,-30,x
6,55,36.5,x
6,56,25.5,x
6,57,22,x
6,58,12.7,x
6,59,234,x
6,60,63,x
6,61,66,x
6,62,86,x
6,63,122.5,x
6,64,50.5,x
6,65,30.25,x
6,66,138.6,x
6,67,1,x
6,68,3.75,x
6,69,87.5,x
6,70,59,x
6,71,10.74,x
6,72,1,x
6,73,2,x
6,74,15.42,x
7,75,60,x
7,76,37.94,x
7,77,23.5,x
8,78,41.45,x
8,79,49.09,x
9,80,17.1,x
9,81,12.81,x
9,82,38.58,x
9,83,74,x
10,84,68,x
10,85,7.5,x
10,86,72,x
11,87,86.6,x
11,88,98.4,x
11,89,189.4,x
11,90,47.6,x
11,91,137,x
11,92,31.1,x
11,93,216.65,x
11,94,100.8,x
11,95,95.2,x
11,96,42.1,x
11,97,27.9,x
11,98,374.4,x
11,99,190.4,x
11,100,63.7,x
11,101,27.8,x
12,102,59,x
12,103,45,x
12,104,23.46,x
12,105,42,x
12,106,32.98,x
12,107,39.3,x
12,108,42,x
13,109,69,x
13,110,28.5,x
13,111,28.5,x
13,112,29.84,x
13,113,65.44,x
14,114,56,x
14,115,26.5,x
14,116,33.75,x
15,118,60,x
15,119,55,x
15,120,35,x
15,121,30,x
15,122,57.1,x
16,123,58,x
16,124,89,x
16,125,35,x
16,126,20,x
16,127,10,x
17,128,124,x
17,129,4.95,x
17,130,356.5,x
17,131,54.39,x
17,132,86.82,x
17,133,59.78,x
17,134,27.7,x
18,135,90.85,x
18,136,71.02,x
18,137,27.6,x
18,138,18.15,x
18,139,31.1,x
18,140,8.98,x
18,141,30.38,x
19,142,367.71,x
19,143,144.8,x
19,144,82.73,x
19,145,67.59,x
19,146,44.13,x
19,147,22.08,x
19,148,36.22,x
19,149,19.08,x
19,150,492.16,x
19,151,842.2,x
19,152,1539.16,x
20,153,24.8,x
20,154,37.5,x
21,155,27.75,x
21,156,326.38,x
21,157,23,x
21,158,-180.08,x
21,159,25.68,x
21,160,342.95,x
21,161,45.55,x
21,162,65.5,x
21,163,62.9,x
22,164,51.19,x
22,165,92.57,x
23,166,37,x
23,167,39,x
23,168,24,x
23,169,165,x
23,170,27,x
23,171,24,x
23,172,15,x
23,173,12,x
23,174,136,x
23,175,60,x
23,176,76,x
23,177,63,x
23,178,90,x
23,179,23,x
23,180,269,x
23,181,35.64,x
24,182,55.75,x
24,183,58,x
24,184,97.64,x
24,185,185.84,x
24,186,45.25,x
24,187,21.55,x
24,188,15,x
24,189,21.85,x
25,190,115,x
25,191,100,x
25,192,29,x
25,193,25,x
25,194,24,x
25,195,9,x
26,196,45.2,x
26,197,289.1,x
26,198,59,x
26,199,73.5,x
27,200,20.4,x
27,201,14.75,x
27,202,70,x
27,203,210,x
27,204,58,x
27,205,22.75,x
27,206,22.75,x
27,207,120,x
27,208,58,x
27,209,23.6,x
27,210,20.8,x
28,211,58.75,x
28,212,342.8,x
28,213,107.6,x
28,214,93.75,x
29,215,603.83,x
29,216,585.2,x
29,217,12.35,x
29,218,17.38,x
29,219,41.4,x
29,220,81.4,x
29,221,178.53,x
29,222,26.03,x
29,223,26.65,x
30,224,76.9,x
30,225,3,x
30,226,28,x
31,227,53.1,x
31,228,195,x
31,229,210,x
31,230,14.4,x
31,231,40,x
32,232,55,x
33,233,70.07,x
33,234,14.6,x
34,235,78.1,x
34,236,86,x
35,251,110.8,x
35,252,52.04,x
36,253,30,x
36,254,37.38,x
36,255,26.68,x
37,256,57.9,x
38,257,42,x
38,258,47,x
39,259,42,x
39,260,39,x
39,261,75,x
39,262,55,x
39,263,20,x
39,264,30,x
39,265,39,x
39,266,130,x
39,267,12,x
39,268,150,x
39,269,125,x
39,270,39,x
39,271,39,x
39,272,39,x
39,273,12,x
39,274,10,x
39,275,22.5,x
39,276,22,x
40,277,42,x
40,278,40,x
40,279,75,x
41,280,125,x
41,281,175,x
41,282,68.5,x
42,283,99,x
42,284,27,x
42,285,800,x
43,286,22,x
43,287,22,x
43,288,22,x
43,289,50.85,x
43,290,169.06,x
43,291,71.98,x
43,292,10.94,x
43,293,16.39,x
44,294,45.99,x
44,295,66.78,x
44,296,184.18,x
44,297,158.73,x
44,298,260.68,x
44,299,48.43,x
44,300,399,x
44,301,55.98,x
45,302,135,x
45,303,49,x
45,304,173.69,x
46,305,110,x
46,306,96,x
46,307,73.98,x
46,308,70,x
46,309,99,x
46,310,31.99,x
46,311,22.89,x
46,312,23,x
46,313,23.43,x
46,314,25.52,x
46,315,31.81,x
46,316,32.5,x
46,317,6.52,x
46,318,96,x
46,319,73.98,x
46,320,6.52,x
46,321,38.65,x
46,322,96,x
46,323,73.98,x
46,324,6.52,x
46,325,96,x
46,326,73.98,x
46,327,6.52,x
46,328,70,x
46,329,38.65,x
46,330,96,x
46,331,73.98,x
46,332,0.91,x
46,333,6.52,x
46,334,96,x
46,335,73.98,x
46,336,6.52,x
46,337,1.99,x
46,338,14,x
46,339,96,x
46,340,73.98,x
46,341,38.65,x
46,342,6.52,x
46,343,1.99,x
46,344,96,x
46,345,73.98,x
46,346,6.52,x
46,347,1.99,x
46,348,64.45,x
46,349,75,x
46,350,119,x
46,351,119,x
46,352,96,x
46,353,73.98,x
46,354,38.65,x
47,355,93.74,x
47,356,68.31,x
48,357,152,x
48,358,1000,x
48,359,200,x
48,360,200,x
48,361,100,x
48,362,495,x
48,363,105,x
48,364,202.13,x
48,365,161,x
49,366,66.43,x
49,367,85.61,x
49,368,119.56,x
49,369,69.83,x
49,370,37.24,x
49,371,24.31,x
50,372,81,x
50,373,198.46,x
50,374,198.57,x
50,375,47,x
50,376,25.75,x
50,377,43,x
51,378,192,x
51,379,30,x
51,380,16.75,x
51,381,30,x
51,382,49,x
51,383,17.75,x
51,384,209.25,x
51,385,33.5,x
51,386,33.5,x
51,387,19.75,x
52,388,233.95,x
52,389,86.5,x
53,390,63,x
53,391,-63,x
53,392,550,x
53,393,15,x
53,394,27,x
53,395,104,x
53,396,59,x
53,397,121,x
53,398,188,x
53,399,436,x
53,400,308,x
53,401,93,x
53,402,192,x
53,403,63,x
53,404,21.65,x
53,405,21.65,x
54,406,68,x
54,407,63,x
54,408,193,x
54,409,24.8,x
54,410,-40.75,x
54,411,95,x
54,412,24.02,x
54,413,22.7,x
55,414,79.85,x
55,415,35.3,x
55,416,8.62,x
55,417,15.42,x
56,418,26,x
56,419,41,x
56,420,122,x
56,421,195,x
56,422,75,x
56,423,59,x
56,424,8.85,x
57,425,43,x
57,426,25,x
57,427,37,x
58,428,49,x
58,429,149.44,x
58,430,109,x
58,431,34.57,x
58,432,-34.57,x
58,433,58,x
58,434,31.16,x
58,435,24.25,x
58,436,59.79,x
58,437,58,x
58,438,182.7,x
58,439,36.57,x
58,440,-36.57,x
59,441,34.66,x
59,442,50.7,x
59,443,52.5,x
60,444,31.48,x
61,445,165.99,x
62,448,46,x
62,449,36.02,x
62,450,50.5,x
62,451,23.1,x
62,452,59,x
62,453,179,x
63,454,70,x
63,455,82.6,x
63,456,80.94,x
64,457,136.9,x
65,458,75,x
65,459,69.62,x
65,460,82.74,x
66,461,150.1,x
66,462,60,x
66,463,55,x
67,464,75,x
67,465,50.53,x
68,466,60,x
68,467,69.44,x
68,468,138.7,x
69,469,100,x
69,470,384.3,x
69,471,28.5,x
69,472,14.48,x
69,473,70.25,x
70,474,52,x
70,475,52,x
70,476,91.5,x
71,477,175,x
71,478,189,x
71,479,495,x
71,480,22,x
72,481,45.58,x
72,482,84.69,x
72,483,59.22,x
72,484,38.38,x
73,485,2.64,x
73,486,19.86,x
73,487,5.82,x
73,488,17.12,x
74,489,10,x
74,490,4,x
74,491,139,x
74,492,6.95,x
74,493,53.3,x
74,494,2.67,x
74,495,45.99,x
74,496,2.3,x
74,497,22.5,x
74,498,1.13,x
75,499,63.25,x
75,500,6.33,x
75,501,10,x
75,502,4,x
75,503,139,x
75,504,6.95,x
75,505,126,x
75,506,6.3,x
75,507,159,x
75,508,7.95,x
75,509,22.5,x
75,510,1.13,x
75,511,4,x
75,512,53.3,x
75,513,2.67,x
75,514,27,x
75,515,1.35,x
