id,ItemDescription,Diagnosis,PreventiveFlag
1,Six:  Urgent Care Exam - Daytime (8am-6pm),colitis ,0
2,Jafar:  Office Visit/Physical Exam,Stomach Issues ,0
3,Jafar:  Fecal Smears ,Stomach Issues ,0
4,Jafar:  metronidazole 50mg,Stomach Issues ,0
5,Jafar:  Fecal analysis for parasites,Stomach Issues ,0
6,George:  Office Call/General Exam,"Diarrhea, vomiting, congested ",0
7,Shayna:  Urinalysis,"Urinary Tract Infection abdominal ultrasound, urinalysis and culture and sensitivity of urine to farther evaluate urinary tract infections. ",0
8,Shayna:  Ultrasound,"Urinary Tract Infection abdominal ultrasound, urinalysis and culture and sensitivity of urine to farther evaluate urinary tract infections. ",0
9,Shayna:  Culture and Sensitivity MIC Idexx,"Urinary Tract Infection abdominal ultrasound, urinalysis and culture and sensitivity of urine to farther evaluate urinary tract infections. ",0
10,Shayna:  T/D Canine 25 lb,"Urinary Tract Infection antibiotics to treat infection, disregard food. Please call with any questions",0
11,Shayna:  j/d bag,"Urinary Tract Infection antibiotics to treat infection, disregard food. Please call with any questions",0
12,Shayna:  Doxycycline Hyclate 100 mg Tablet,"Urinary Tract Infection antibiotics to treat infection, disregard food. Please call with any questions",0
13,Bella:  Doxycycline 100mg,urine issue ,0
14,Shayna:  Leptospirosis Vaccine,"Transitional Cell Carcinoma Work up for transitional cell carcinoma, if you have questions, please call me at 952.999.4197 - Sara Aho",1
15,George:  Burrow's Solution 2%  ,suspected allergies we are still trying to figure this all out - it is highly likely that the ears may also be related to allergies also.  Trying new food as well. ,0
16,George:  Exam/Recheck/Follow-up,suspected allergies we are still trying to figure this all out - it is highly likely that the ears may also be related to allergies also.  Trying new food as well. ,0
17,Emma:  Fecal Floatation Exam,"trauma-dead tooth, ear infection dead tooth found on exam and needs to be removed. surgery is scheduled. blood work, x-rays, blood pressure are all pre surgical workup. ear cytology and osurnia for ear infection. fecal is wellness. please call with any questions",0
18,Emma:  Workup Metabolic Idexx,"trauma-dead tooth, ear infection dead tooth found on exam and needs to be removed. surgery is scheduled. blood work, x-rays, blood pressure are all pre surgical workup. ear cytology and osurnia for ear infection. fecal is wellness. please call with any questions",0
19,Emma:  Exam Wellness Dr. Knutson,"trauma-dead tooth, ear infection dead tooth found on exam and needs to be removed. surgery is scheduled. blood work, x-rays, blood pressure are all pre surgical workup. ear cytology and osurnia for ear infection. fecal is wellness. please call with any questions",0
20,Emma:  Radiograph-Two studies add to Bloodwork,"trauma-dead tooth, ear infection dead tooth found on exam and needs to be removed. surgery is scheduled. blood work, x-rays, blood pressure are all pre surgical workup. ear cytology and osurnia for ear infection. fecal is wellness. please call with any questions",0
21,Emma:  Consult Radiologist,"trauma-dead tooth, ear infection dead tooth found on exam and needs to be removed. surgery is scheduled. blood work, x-rays, blood pressure are all pre surgical workup. ear cytology and osurnia for ear infection. fecal is wellness. please call with any questions",0
22,Emma:  Cytology For Ear,"trauma-dead tooth, ear infection dead tooth found on exam and needs to be removed. surgery is scheduled. blood work, x-rays, blood pressure are all pre surgical workup. ear cytology and osurnia for ear infection. fecal is wellness. please call with any questions",0
23,Emma:  Osurnia Treatment 2 Tubes,"trauma-dead tooth, ear infection dead tooth found on exam and needs to be removed. surgery is scheduled. blood work, x-rays, blood pressure are all pre surgical workup. ear cytology and osurnia for ear infection. fecal is wellness. please call with any questions",0
