PreventiveFlag,CombinedText
1,"Shayna:  Leptospirosis Vaccine | Transitional Cell Carcinoma Work up for transitional cell carcinoma, if you have questions, please call me at 952.999.4197 - Sara Aho"
1,RAPHAEL:  Canine Rabies Booster 3 year | Lyme Postive test 
1,Reese:  Bordetella Oral - Annual | Exam & Anal Sac Expression 
1,Coco Chanel:  Bordetella Vacc 6mo Booster | Pododermatitis 
1,Bella Brandy :  Influenza H3N8/H3N2 Vaccine K9 1yr | anal glands 
1,Bella Brandy :  Fecal O&PCmb T808 1yr | anal glands 
1,Bella Brandy :  Borrelia (Lyme) Vaccine 1yr | anal glands 
1,Ellie:  Advantix Dog Up To 10lbs | Abnormal stool 
1,Evo:  Heartgard Plus K9 S 1-25lb/1-11kg 6Pk DISPME | Eye 
1,Millie:  Exam with Vaccines - Puppy  | diarrhea 
1,Gigi:  Heartworm Antigen Test - Antech | Not eating well 
1,Gigi:  Intestinal Parasites Examination | Not eating well 
1,Mango:  Fecal O&PCmb T808 1yr | recheck liver 
1,Duke:  Rabies 1 yr | Ear infection  
1,Duke:  Canine DA2PP Puppy 3 | Ear infection  
1,Moss:  Interceptor Plus 11.4-22.7kg (Yellow) | Diarrhea 
1,Riley:  BORDETELLA (ANTICOUGH VACCINE) | Ear infection 
1,Riley:  HEARTGARD + K-9 0-25# (BLUE) | Ear infection 
1,Riley:  NexGard 10-24 lb 6 dose pack | Ear infection 
1,Hopper:  AccuPlex4 (HWAg Ehrlich Anapl Lyme) AC100 | back injury 
1,Coco Chanel:  Milbemax 16mg (>2kg) Flavor Coated T | Periodontal Dz 
1,"Buttons:  VACCINE CANINE EXAM + BORD | HISTORY: Has emptied her AG a few times, usually when left alone so likely got anxious. Also itchy again but responded well to Apoquel when she was on it.   PHYSICAL EXAMINATION:   Body Score:        3.5 / 5 Goal weight = 33kg Clean eyes, ears. Minimal tartar only. Heart and lungs ok.  HR=126 Abdominal palpation normal. Skin and coat healthy but pruritus present.   PLAN:      DIET RECOMMENDATION: Suspect atopy over food allergies but could still try hypoallergenic diet and/or referral to dermatologist. Ok to refill Apoquel as needed, should start at BID until better, then SID ongoing, and off label at EOD if still effective enough. AG - full R>L, liquid, easily expressed BA - IN 1 yr   DIAGNOSIS:  Atopic Dermatitis, Overweight, Dental disease Grade I     PRESCRIPTION(S): Apoquel 16 mg  - 1 PO BID for 7-14 days, then SID ongoing. -MD "
1,PRINCESS LEAH:  Nexgard Chews Purple 24.1-60# - 3  | Otitis Externa  Demodex with Secondary Bacterial Pyoderma
